
0.00115, 89.94565217391303%

0.00115, 78.80434782608695%

0.00115, 88.72282608695652%

0.00115, 90.625%

0.00115, 79.75543478260869%

0.00115, 79.75543478260869%

0.00115, 1.766304347826087%

0.00115, 86.1413043478261%

1e-06, 89.67391304347827%

5e-06, 91.44021739130434%
3e-06, 90.76086956521738%
1e-06, 89.94565217391303%
8e-07, 89.40217391304348%
6e-07, 89.53804347826086%

3e-06, 91.03260869565217%

3e-06, 91.03260869565217%

2.5e-06, 90.21739130434783%
2.25e-06, 90.76086956521738%
2e-06, 90.48913043478261%
1.75e-06, 89.80978260869566%
1.5e-06, 90.08152173913044%
1.25e-06, 89.2663043478261%

1.4081297385331515e-06, 89.67391304347827%
2.9775135739555225e-06, 90.76086956521738%
2.094137264983115e-06, 90.625%
2.9611895862038866e-06, 90.625%
1.838691699417334e-06, 90.08152173913044%
1.7577272131637243e-06, 89.13043478260869%
2.5648637138492833e-06, 90.48913043478261%
2.996457442599847e-06, 89.94565217391303%
2.0673430282547133e-06, 90.625%
1.5218527577517826e-06, 91.16847826086956%

1e-06, 91.71195652173913%
1e-07, 90.76086956521738%
1e-08, 90.625%
1e-09, 90.625%
